,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,3.0,0.6212999820709229,"work, product, well, problem, return, item, box, screen, bad, battery","['overall', 'bluetooth', 'far', 'syncs', 'well', 'integrate', 'bluetooth', 'mercede', 'aftermarket', 'alpine', 'stereo', 'feature', 'design', 'poor', 'thought', 'look', 'great', 'body', 'far', 'slippery', 'handle', 'bar', 'soap', 'primary', 'morning', 'really', 'clumsy', 'nightstand', 'alarm', 'fully', 'awake', 'hard', 'open', 'drop', 'time', 'fumble', 'open', 'wide', 'opening', 'portrait', 'mode', 'landscape', 'mode', 'place', 'insert', 'finger', 'open', 'fingernail', 'previous', 'hand', 'almost', 'time', 'open', 'thing', 'old', 'flip', 'open', 'hand', 'wish', 'alarm', 'clock', 'snooze', 'function', 'clock', 'radio', 'allow', 'minute', 'snooze', 'time', 'short', 'allow', 'set', 'snooze', 'period', 'preference', 'way', 'display', 'time', 'front', 'screen', 'dark', 'open', 'well', 'fake', 'hold', 'lock', 'button', 'music', 'key', 'light', 'display', 'hold', 'second', 'time', 'reset', 'lock', 'unlock', 'back', 'call', 'cell', 'fail', 'clock', 'display', 'anywhere', 'well', 'time', 'call', 'let', 'meet', 'later', 'person', 'ask', 'ok', 'time', 'tell', 'quit', 'wear', 'watch', 'clock', 'cell', 'display', 'time', 'call', 'key', 'outside', 'bad', 'volume', 'little', 'accidentally', 'press', 'keyboard', 'idea', 'overall', 'find', 'type', 'little', 'chiclet', 'gum', 'candy', 'fingernail', 'avoid', 'fat', 'finger', 'qwerty', 'mode', 'end', 'button', 'close', 'space', 'bar', 'inadvertantly', 'kill', 'web', 'type', 'field', 'page', 'frustrating', 'end', 'key', 'farther', 'away', 'wish', 'engineer', 'page', 'key', 'scroll', 'cumbersome', 'end', 'send', 'key', 'somehow', 'traditional', 'red', 'green', 'color', 'outlook', 'contact', 'work', 'alright', 'contact', 'delete', 'resend', 'duplicate', 'bit', 'annoying', 'enter', 'ice', 'contact', 'manually', 'bluetooth', 'send', 'pic', 'netbook', 'time', 'cumbersome', 'select', 'multiple', 'photo', 'send', 'video', 'netbook', 'bluetooth', 'send', 'picture', 'message', 'email', 'fake', 'way', 'usage', 'charge', 'way', 'removable', 'storage', 'microsd', 'card', 'big', 'disappointment', 'calendar', 'useless', 'piece', 'junk', 'send', 'calendar', 'appointment', 'half', 'bake', 'set', 'reminder', 'outlook', 'reminder', 'carry', 'support', 'text', 'field', 'appointment', 'correspond', 'outlook', 'appointment', 'body', 'header', 'meeting', 'body', 'useful', 'appointment', 'empty', 'text', 'field', 'problem', 'text', 'long', 'carriage', 'return', 'text', 'enter', 'enter', 'description', 'display', 'empty', 'text', 'field', 'freeze', 'reboot', 'terrible', 'recur', 'meeting', 'miserably', 'half', 'baked', 'set', 'interval', 'week', 'work', 'work', 'schedule', 'work', 'work', 'choose', 'daily', 'weekly', 'monthly', 'annually', 'outlook', 'calendar', 'item', 'end', 'flaw', 'useless', 'really', 'plan', 'organizer', 'fail', 'meet', 'understand', 'calendar', 'product', 'next', 'time', 'ill', 'shop', 'different', 'brand', 'add', 'mobile', 'email', 'bad', 'room', 'improvement', 'bill', 'fully', 'integrate', 'eye', 'limit', 'file', 'viewer', 'certain', 'file', 'type', 'store', 'receive', 'email', 'attachment', 'mobile', 'email', 'support', 'access', 'attachment', 'call', 'fully', 'integrate', 'client', 'work', 'bit', 'inconsistently', 'maybe', 'issue', 'email', 'provider', 'pop', 'account', 'access', 'inbox', 'send', 'item', 'access', 'various', 'folder', 'ok', 'display', 'inbox', 'send', 'item', 'inbox', 'really', 'weird', 'imagine', 'folder', 'lump', 'togeter', 'mobile', 'email', 'bad', 'bit', 'unintuitive', 'find', 'add', 'recipient', 'email', 'contact', 'hard', 'find', 'clear', 'add', 'multiple', 'recipient', 'semicolon', 'beware', 'verizon', 'compusory', 'datum', 'plan', 'mislead', 'supposedly', 'month', 'data', 'usage', 'often', 'present', 'clearly', 'apply', 'web', 'browser', 'texte', 'picture', 'messaging', 'part', 'datum', 'connection', 'call', 'plan', 'data', 'plan', 'pay', 'additional', 'texting', 'plan', 'charge', 'message', 'pretty', 'furious', 'first', 'bill', 'arrive', 'find', 'charge', 'picture', 'message', 'send', 'part', 'datum', 'plan', 'player', 'alright', 'twice', 'freeze', 'nontypical', 'adapter', 'battery', 'life', 'work', 'listen', 'day', 'little', 'lunchtime', 'web_browsing', 'minute', 'full', 'battery', 'dead', 'hour', 'typical', 'whole', 'workday', 'sound', 'build', 'speaker', 'decent', 'small']"
1,1,3.0,0.7971000075340271,"work, product, well, problem, return, item, box, screen, bad, battery","['messaging', 'feature', 'type', 'text_message', 'much', 'hassle', 'keyboard', 'screen', 'quite', 'pretty', 'find', 'morphing', 'keyboard', 'great', 'feature', 'receiving', 'call', 'work', 'time', 'sometimes', 'reset', 'answer', 'call', 'time', 'light', 'call', 'actually', 'finish', 'process', 'start', 'ring', 'actually', 'call', 'tell', 'later', 'begin', 'kick', 'signing', 'contract', 'service', 'suspect', 'pain', 'butt', 'contract']"
2,2,1.0,0.5141000151634216,"buy, price, fast, really, give, love, look, money, day, quality","['keep', 'shut', 'full', 'charge', 'thought', 'problem', 'battery', 'husband', 'start', 'thing', 'several', 'time', 'day', 'hear', 'people', 'problem', 'local', 'verizon', 'store', 'offer', 'software', 'update', 'guarantee', 'correct', 'problem', 'claim', 'big', 'seller', 'never', 'hear', 'problem', 'refuse', 'look', 'problem', 'nature', 'electronic', 'device', 'guarantee', 'else', 'problem']"
3,3,1.0,0.6407999992370605,"buy, price, fast, really, give, love, look, money, day, quality","['bother', 'piece', 'junk', 'worst', 'ever_owne', 'turn', 'inexplicably', 'time', 'day', 'shut', 'middle', 'conversation', 'embarrass', 'close', 'fast', 'shut', 'body', 'way', 'slippery', 'drop', 'hand', 'dozen', 'time', 'hold', 'impossible', 'flip', 'open', 'hand', 'hand', 'open', 'terrible', 'product', 'quit', 'verizon', 'simply', 'offer', 'waste', 'time', 'money', 'junk']"
4,4,1.0,0.5776000022888184,"buy, price, fast, really, give, love, look, money, day, quality","['pro', 'creative', 'button', 'big', 'screen', 'qwerty', 'keyboard', 'con', 'sync', 'outlook', 'clunky', 'muddle', 'audio', 'speakerphone', 'really', 'give', 'credit', 'creatively', 'design', 'recommend', 'overall', 'simple', 'somewhat', 'complicated', 'keyboard', 'layout', 'constantly', 'change', 'base', 'screen', 'example', 'awkward', 'key', 'version', 'layout', 'keystroke', 'thing', 'turn', 'alarm', 'guess', 'spoil', 'almost', 'always', 'tend', 'best', 'design', 'user', 'interface', 'aside', 'clumsy', 'big', 'thing', 'kill', 'family', 'sync', 'contact', 'calendar', 'event', 'outlook', 'maybe', 'way', 'combination', 'usb', 'cable', 'worth', 'effort', 'especially', 'switch', 'care', 'aside', 'switch', 'week', 'later', 'poor', 'selection', 'verizon', 'verizon', 'disable', 'bluetooth', 'sync', 'capability', 'outlook', 'offer', 'overall', 'design', 'creatively', 'hip', 'design', 'poor', 'feature', 'essential']"
5,5,3.0,0.6779000163078308,"work, product, well, problem, return, item, box, screen, bad, battery","['call', 'fine', 'battery', 'life', 'terrific', 'compare', 'discard', 'nearly', 'identical', 'software', 'find', 'verizon', 'yet', 'standard', 'issue', 'ring_tones', 'pretty', 'bad', 'great', 'camera', 'however', 'support', 'bluetooth', 'file', 'system', 'profile', 'support', 'mark', 'multiple', 'photo', 'push', 'meaning', 'push', 'picture', 'painfully', 'slowly', 'pc', 'bluetooth', 'push', 'pic', 'today', 'day', 'lovely', 'end', 'key', 'next', 'space', 'key', 'inadvertently', 'tap', 'end', 'mobile', 'web', 'exit', 'matter', 'absolutely', 'madden', 'learn', 'time', 'front', 'display', 'permanently', 'set', 'mode', 'keep', 'long']"
6,6,1.0,0.5942000150680542,"buy, price, fast, really, give, love, look, money, day, quality","['love', 'qwerty', 'keyboard', 'great', 'texting', 'highlight', 'huge', 'drawback', 'call', 'bluetooth', 'voice', 'activation', 'system', 'useless', 'old', 'work', 'flawelessly', 'area', 'call', 'respond', 'dial', 'number', 'name', 'one', 'incredibly', 'frustrating', 'look', 'drive', 'rely', 'voice', 'activation', 'bluetooth', 'call', 'voice', 'activation', 'work', 'properly', 'look', 'scroll', 'address', 'book', 'generally', 'distract', 'instead', 'focus', 'road', 'disappointing']"
7,7,2.0,0.5246000289916992,"describe, new, connect, screen, week, brand, last, basic, arrive, glass","['env', 'month', 'ago', 'currently', 'wait', 'third', 'version', 'first', 'fail', 'month', 'key', 'outside', 'drop', 'call', 'back', 'menu', 'middle', 'texting', 'call', 'contact', 'random', 'time', 'much', 'new', 'one', 'refurbish', 'verizon', 'last', 'month', 'fail', 'similar', 'problem', 'almost', 'volume', 'maxe', 'set', 'wait', 'next', 'set', 'new', 'arrive', 'later', 'week', 'wait', 'long', 'last', 'upgrade', 'different', 'option', 'contract', 'year', 'upgrade']"
8,8,1.0,0.6754999756813049,"buy, price, fast, really, give, love, look, money, day, quality","['problem', 'phase', 'buy', 'inform', 'seller']"
9,9,3.0,0.4945000112056732,"work, product, well, problem, return, item, box, screen, bad, battery","['charge', 'instruct', 'hour', 'give', 'unplugged', 'black', 'screen', 'return']"
